Entrez_ID	Gene	ESC_RPKM	EB_RPKM
11287	Pzp	0.504857	0.005714
11298	Aanat	0.372571	0.140286
11302	Aatk	0.075714	0.066857
11303	Abca1	1.959714	0.051143
11304	Abca4	0.041143	0.108571
11305	Abca2	4.566286	2.452286
11307	Abcg1	0.301429	0.184000
11308	Abi1	56.159143	76.869143
11350	Abl1	18.409429	46.468857
11352	Abl2	7.536571	3.788857
11354	Abpa	0	0
11363	Acadl	14.442571	38.860857
11364	Acadm	160.324571	129.156571
11370	Acadvl	4.360571	5.173429
11409	Acads	39.131714	37.692571
11416	Slc33a1	8.546571	14.970286
11418	Accn1	0.018286	0.011714
11419	Accn2	1.020286	0.287714
11421	Ace	0.307143	0.028571
11423	Ache	0.280857	0.127714
11425	Apoc4	0	0.014571
11426	Macf1	13.933714	3.279429
11428	Aco1	33.671714	86.893429
11429	Aco2	101.088857	116.066857
11430	Acox1	9.036000	9.708286
11431	Acp1	3.197143	13.310857
11432	Acp2	8.896571	26.468000
11433	Acp5	7.472571	0.815714
11434	Acr	0.115143	0.119143
11435	Chrna1	0.125429	0.041714
11438	Chrna4	0.041429	0.104000
11440	Chrna6	0.018000	0
11441	Chrna7	1.046857	0.371429
11443	Chrnb1	5.184571	4.039143
11444	Chrnb2	0.016286	0.072857
11447	Chrnd	0.062857	0.042857
11448	Chrne	0.080286	0.020286
11449	Chrng	0.063714	0.003429
11450	Adipoq	0.033714	0.023429
11451	Acrv1	0.015429	0
11459	Acta1	59.921714	34.455429
11461	Actb	1413.998857	3188.957429
11464	Actc1	5.112857	39.371143
11465	Actg1	1131.034286	1315.429429
11468	Actg2	21.208857	68.935714
11470	Actl7a	0.019143	0.056286
11471	Actl7b	0.078286	0.146857
11472	Actn2	2.167143	0.896000
11474	Actn3	41.954000	7.214857
11475	Acta2	354.842000	189.847714
11477	Acvr1	0.986286	4.080000
11479	Acvr1b	7.237714	23.902571
11480	Acvr2a	4.332857	18.667714
11481	Acvr2b	3.890857	8.000286
11482	Acvrl1	0.005714	0.169714
11484	Aspa	0.172857	0.004286
11486	Ada	12.712286	5.131714
11487	Adam10	17.394857	31.947143
11488	Adam11	0.192571	0.403429
11489	Adam12	0.030286	0.110286
11490	Adam15	9.523429	3.706857
11491	Adam17	13.109429	13.746000
11492	Adam19	8.220000	5.438286
11495	Adam2	0.034000	0
11496	Adam22	2.429429	1.060286
11497	Adam3	0.005429	0
11498	Adam4	0.059714	0
11499	Adam5	0	0.008000
11500	Adam7	0.019429	0.006857
11501	Adam8	0.371429	0.132571
11502	Adam9	14.336857	8.807429
11504	Adamts1	1.376000	2.665429
11512	Adcy6	4.093429	12.588571
11513	Adcy7	0.221429	0.108571
11514	Adcy8	0.006286	0.074000
11515	Adcy9	0.671143	0.237714
11516	Adcyap1	0.061143	0.077429
11517	Adcyap1r1	0.089429	3.147143
11518	Add1	47.529714	68.592571
11519	Add2	0.049429	0.116571
11520	Adfp	77.671429	56.248000
11522	Adh1	0.016857	0
11529	Adh7	0.007143	0
11532	Adh5	427.064286	491.225429
11534	Adk	72.600286	96.272286
11535	Adm	0.486286	1.066857
11536	Admr	0.113429	0.004000
11537	Cfd	0	0
11538	Adnp	13.403143	19.938286
11539	Adora1	0.043143	0.767143
11540	Adora2a	0.043714	0.076000
11541	Adora2b	0.832571	0.372000
11542	Adora3	0.002857	0.007429
11544	Adprh	70.659143	102.304286
11545	Parp1	70.384000	46.542571
11546	Parp2	143.678571	199.326571
11548	Adra1b	0.012857	0.092000
11549	Adra1a	0.007714	0.014286
11550	Adra1d	0.038571	0
11551	Adra2a	0.319143	0.764571
11552	Adra2b	0.088571	2.504571
11553	Adra2c	1.059143	0.422857
11554	Adrb1	0.017429	0.049429
11555	Adrb2	0.269429	0.320857
11556	Adrb3	7.693714	0.939429
11564	Adsl	18.074286	35.641143
11565	Adssl1	2.247429	17.280571
11566	Adss	252.337714	233.119143
11567	Avil	0.371143	0.043429
11568	Aebp1	1.366286	1.219714
11569	Aebp2	7.336000	3.613714
11571	Crisp1	0.022857	0
11572	Crisp3	0.025714	0.004857
11576	Afp	0.233714	0.039429
11593	Aga	3.567143	4.058857
11595	Acan	0.146000	0.032857
11596	Ager	0.162000	0.471143
11600	Angpt1	0.268000	0.232571
11601	Angpt2	0.241714	0.016286
11602	Angpt4	0.004857	0
11603	Agrn	9.684000	4.559143
11604	Agrp	0.011429	0.035714
11605	Gla	4.352286	6.405714
11606	Agt	0.024571	0.064286
11607	Agtr1a	0.054286	0.294000
11608	Agtr1b	0.078000	0.157429
11609	Agtr2	0.002286	0
11610	Agtrap	9.181714	7.289429
11611	Agxt	0.006286	0.010000
11614	Nr0b1	13.009143	0.003714
11622	Ahr	1.563143	0.703429
11624	Ahrr	0.048571	0.127714
11625	Ahsg	0.140286	0.009143
11628	Aicda	0.234857	0.112000
11629	Aif1	0.008571	0
11630	Aim1	0.685714	0.210571
11632	Aip	67.426857	104.188857
11634	Aire	0.773429	0.300571
11636	Ak1	66.743429	88.521714
11637	Ak2	46.554857	44.586571
11639	Ak3l1	9.813143	3.157714
11640	Akap1	25.791429	6.048857
11641	Akap2	6.826571	10.582857
11642	Akap3	0.003143	0.010000
11643	Akap4	0.015143	0.002286
11647	Akp2	42.600571	25.680000
11648	Akp3	0.324857	0.563143
11650	Akp5	0.044571	0.042286
11651	Akt1	15.050286	33.198000
11652	Akt2	8.178571	7.678000
11655	Alas1	90.795143	61.321714
11656	Alas2	0.024286	0.501429
11657	Alb1	0	0.003429
11658	Alcam	1.897143	1.191714
11666	Abcd1	0.762286	1.756286
11668	Aldh1a1	0.054571	0
11669	Aldh2	157.236571	179.539429
11670	Aldh3a1	3.866000	0
11671	Aldh3a2	22.910571	19.752000
11674	Aldoa	1563.430286	2090.556571
11676	Aldoc	27.716286	36.121143
11677	Akr1b3	4.476571	5.300571
11682	Alk	0.033429	0.020286
11684	Alox12	0.287429	0.457714
11685	Alox12e	0.008857	0.022000
11686	Alox12b	0.533143	0.016571
11687	Alox15	0.364000	19.302571
11688	Alox8	0.158857	0.155714
11689	Alox5	0.123143	0.242571
11690	Alox5ap	3.882286	1.339429
11692	Gfer	31.222857	37.052857
11694	Alx3	0.004000	3.535143
11695	Alx4	0.043714	0.171714
11698	Ambn	0	0
11699	Ambp	0.343429	0.877143
11702	Amd1	3.211143	8.616286
11704	Amelx	0.007714	0
11705	Amh	0	0.038571
11717	Ampd3	0.397714	0.192000
11720	Mat1a	0	0.090000
11722	Amy1	0.014857	0.020857
11727	Ang1	0.066286	1.392000
11730	Ang3	0	0
11731	Ang2	0	0
11732	Ank	3.605429	5.809714
11733	Ank1	0.024000	0.005143
11735	Ank3	0.548571	0.998286
11736	Ankfy1	37.668571	40.372857
11737	Anp32a	197.719714	347.581714
11739	Slc25a4	646.024286	1015.541714
11740	Slc25a5	376.768286	283.232857
11744	Anxa11	7.532857	7.658571
11745	Anxa3	61.054857	13.158857
11746	Anxa4	12.869429	29.085429
11747	Anxa5	91.305429	79.328000
11749	Anxa6	70.869143	52.429143
11750	Anxa7	75.127714	79.586000
11752	Anxa8	1.120286	0.137143
11754	Aoc3	1.226857	0.236000
11757	Prdx3	48.027143	100.337429
11758	Prdx6	62.763143	205.814857
11761	Aox1	0.010857	0.001429
11764	Ap1b1	63.992286	69.926857
11765	Ap1g1	30.611143	42.165714
11766	Ap1g2	5.456857	4.950286
11767	Ap1m1	38.815429	75.032286
11768	Ap1m2	7.281714	10.191143
11769	Ap1s1	235.667143	146.127429
11770	Fabp4	0.067429	0.132000
11771	Ap2a1	27.199714	60.722571
11772	Ap2a2	12.632000	15.721143
11773	Ap2m1	26.646857	51.230571
11774	Ap3b1	60.029143	63.574286
11775	Ap3b2	1.339429	0.346286
11776	Ap3d1	57.516000	67.746000
11777	Ap3s1	4.371429	12.216857
11778	Ap3s2	10.660857	32.005429
11781	Ap4m1	7.644000	8.481429
11782	Ap4s1	0.325714	0.874286
11783	Apaf1	4.122571	5.140000
11784	Apba2	1.204000	0.434571
11785	Apbb1	11.423429	38.824000
11787	Apbb2	4.954857	4.486857
11789	Apc	43.893429	28.716857
11790	Speg	0.910857	1.559143
11792	Apex1	358.206000	558.297429
11793	Atg5	15.709429	34.061714
11796	Birc3	1.749714	2.217429
11797	Birc2	21.439143	22.373143
11798	Birc4	12.943429	16.101429
11799	Birc5	93.868571	141.572000
11800	Api5	78.697714	108.132000
11801	Cd5l	0	0.003429
11803	Aplp1	36.741143	4.538000
11804	Aplp2	321.532571	402.630000
11806	Apoa1	0.334857	1.932571
11807	Apoa2	0	0
11808	Apoa4	0.004571	0.076000
11810	Apobec1	5.208000	0.398286
11811	Apobec2	0.072571	0.925429
11812	Apoc1	70.796000	42.378857
11813	Apoc2	0.010286	0.489143
11814	Apoc3	0	0
11815	Apod	7.861143	0.100857
11816	Apoe	453.756571	991.326571
11818	Apoh	0	0.014571
11819	Nr2f2	0.071429	0.316571
11820	App	37.425143	93.526571
11821	Aprt	208.614286	266.957714
11826	Aqp1	0.083143	0.002571
11827	Aqp2	0	0.026571
11828	Aqp3	36.294857	0.621143
11829	Aqp4	0	0.142571
11830	Aqp5	1.065143	0.167714
11831	Aqp6	0.018286	0.014000
11832	Aqp7	0.246857	0.200286
11833	Aqp8	0	0.104857
11834	Aqr	75.687429	86.326286
11835	Ar	0.008286	0.090571
11836	Araf	22.701714	37.639143
11837	Arbp	240.776286	726.065143
11838	Arc	0.969429	0.360286
11839	Areg	0.006286	0.084571
11840	Arf1	251.853143	419.253714
11841	Arf2	3.416000	4.645429
11842	Arf3	30.454000	50.024571
11843	Arf4	24.518571	41.130857
11844	Arf5	25.574857	53.264286
11845	Arf6	39.260857	47.003714
11846	Arg1	0.171143	0.050571
11847	Arg2	2.004857	1.000286
11848	Rhoa	114.930286	178.768000
11852	Rhob	34.015143	43.089429
11853	Rhoc	127.938286	93.091143
11854	Rhod	2.853429	8.525714
11855	Arhgap5	92.599143	53.308571
11856	Arhgap6	0.564000	0.299143
11857	Arhgdib	27.337143	8.805143
11858	Rnd2	4.038286	15.348571
11859	Phox2a	4.203429	3.993143
11861	Arl4a	20.031429	16.362286
11863	Arnt	24.695429	19.778286
11864	Arnt2	0.834286	1.343429
11865	Arntl	18.364857	3.004286
11867	Arpc1b	97.679429	78.566000
11870	Art1	0.273429	0.046571
11871	Art2a	0	0.007714
11872	Art2b	0	0.013714
11875	Art5	0.227143	0.317429
11876	Artn	1.813429	0.883429
11877	Arvcf	2.080571	0.983429
11878	Arx	0.243143	0.450571
11881	Arsb	0.446571	0.611714
11883	Arsa	1.999429	17.099714
11886	Asah1	170.294857	114.172286
11889	Asgr1	0.006000	0.095143
11890	Asgr2	0.309714	0
11891	Rab27a	2.122286	1.886571
11898	Ass1	18.144000	4.841429
11899	Astn1	0.031143	0.040571
11905	Serpinc1	0.162857	0.072571
11906	Atbf1	0.881714	0.601429
11907	Ate1	38.298286	37.800000
11908	Atf1	48.902286	51.728000
11909	Atf2	33.220571	29.321714
11910	Atf3	3.712857	2.120571
11911	Atf4	267.867714	316.541143
11920	Atm	5.986857	4.540286
11921	Atoh1	0.025143	0.036571
11922	Neurod6	0.016286	0.057143
11923	Neurod4	0.062286	0.186286
11924	Neurog2	0.031429	0.186857
11925	Neurog3	0.224857	0.059143
11927	Atox1	233.381714	366.649429
11928	Atp1a1	320.740000	517.506571
11931	Atp1b1	110.345143	29.590857
11932	Atp1b2	1.670571	21.374571
11933	Atp1b3	24.450286	41.852857
11936	Fxyd2	0.169429	0.009429
11937	Atp2a1	0.007143	0.061429
11938	Atp2a2	85.640571	53.146571
11941	Atp2b2	0.017714	0.063429
11944	Atp4a	0.442286	0.098571
11945	Atp4b	0	0
11946	Atp5a1	239.090571	268.685429
11947	Atp5b	2176.294000	2322.077429
11949	Atp5c1	395.973714	658.650571
11950	Atp5f1	272.865143	352.291429
11951	Atp5g1	2.400000	3.599714
11957	Atp5j	440.162000	639.355429
11958	Atp5k	443.021429	1022.983714
11964	Atp6v1a	70.241714	79.438857
11966	Atp6v1b2	203.921429	163.114857
11972	Atp6v0d1	42.148286	75.501714
11973	Atp6v1e1	268.048857	285.666571
11974	Atp6v0e	179.536857	272.949143
11975	Atp6v0a1	23.514571	50.530286
11977	Atp7a	6.606857	8.082000
11979	Atp7b	0.246000	0.180857
11980	Atp8a1	1.577714	1.688571
11981	Atp9a	1.418286	0.444000
11982	Atp10a	2.797429	2.041429
11983	Atpif1	5407.116857	6433.326286
11984	Atp6v0c	107.679714	354.760286
11987	Slc7a1	15.252286	1.903714
11988	Slc7a2	0.117714	0.119143
11989	Slc7a3	50.672286	14.674000
11990	Atrn	3.295429	3.494857
11991	Hnrpd	20.722000	58.571143
11992	Auh	1.207429	2.203714
11993	Aup1	73.544000	147.936857
11994	Pcdh15	0.018286	0.022857
11997	Akr1b7	0.073714	0.024857
11998	Avp	0	0.130000
12000	Avpr2	0	0.014857
12005	Axin1	31.392571	40.328000
12006	Axin2	6.615429	22.416286
12007	Azgp1	0	0
12009	Azi1	3.327714	2.307429
12010	B2m	440.060571	579.410286
12012	Baat	0.075714	0.007429
12013	Bach1	14.052571	33.781714
12014	Bach2	4.104571	9.638286
12015	Bad	4.302286	11.028857
12017	Bag1	19.557143	37.215714
12018	Bak1	80.582286	121.648000
12020	Bapx1	0.015429	0
12021	Bard1	15.298571	16.614571
12022	Barx1	0.020286	0
12023	Barx2	0.160571	0.236000
12028	Bax	202.465714	263.586000
12029	Bcl6b	3.874000	0.216000
12032	Bcan	0.245714	0.128000
12033	Bcap29	19.710000	26.470286
12034	Phb2	316.360857	375.469429
12035	Bcat1	316.405429	90.541714
12036	Bcat2	38.835429	15.795143
12038	Bche	0.962571	1.756000
12039	Bckdha	52.234000	58.170286
12040	Bckdhb	59.166000	53.164286
12041	Bckdk	32.840571	52.802857
12042	Bcl10	1.520286	2.325429
12043	Bcl2	0.082857	0.256857
12044	Bcl2a1a	0	0
12045	Bcl2a1b	0	0.019143
12046	Bcl2a1c	0.021143	0
12047	Bcl2a1d	0	0
12048	Bcl2l1	1.689714	1.456571
12049	Bcl2l10	0	0
12050	Bcl2l2	3.876857	4.579143
12051	Bcl3	8.947143	0.058286
12053	Bcl6	0.296000	0.863143
12054	Bcl7b	22.702286	25.612000
12055	Bcl7c	1.628286	6.524286
12057	Opn1sw	0.017429	0.012000
12061	Bdkrb1	0	0.005143
12062	Bdkrb2	0.330286	0.055429
12064	Bdnf	1.250571	0.010857
12068	Bet1	14.464000	41.062286
12069	Bex2	285.742857	801.682286
12070	Ngfrap1	3446.108857	4373.064000
12075	Bfsp1	0.003143	0.002857
12091	Glb1	7.788000	2.159429
12095	Bglap-rs1	0.072000	0
12096	Bglap1	0	0
12097	Bglap2	0	0
12111	Bgn	2.287429	0.976286
12116	Bhmt	0.003714	0
12121	Bicd1	1.568857	0.632857
12122	Bid	66.772571	48.354000
12123	Hrk	0.114000	0.065714
12124	Bik	1.229143	0.534000
12125	Bcl2l11	10.666000	7.396857
12140	Fabp7	0.010000	0.636571
12142	Prdm1	2.981143	1.774000
12143	Blk	0	0.008857
12144	Blm	100.614000	91.296000
12145	Blr1	0.005714	0
12151	Bmi1	0.467143	5.839429
12153	Bmp1	28.793429	10.682000
12154	Bmp10	0	0.005429
12155	Bmp15	0.109143	0.008286
12156	Bmp2	1.755143	13.652286
12159	Bmp4	41.639143	135.970000
12160	Bmp5	0.015714	4.722286
12161	Bmp6	0.028857	0.630286
12162	Bmp7	4.734857	39.934286
12163	Bmp8a	0.289429	0.035143
12164	Bmp8b	0.170857	0.032286
12165	Gdf2	0.256286	0
12166	Bmpr1a	28.403714	51.908857
12167	Bmpr1b	0.162571	0.036000
12168	Bmpr2	20.748571	23.414286
12169	Bmx	0.046000	0.026571
12173	Bnc1	0.031429	0.350000
12175	Bnip2	47.559714	82.335429
12176	Bnip3	12.850286	20.214571
12177	Bnip3l	65.885143	113.560571
12180	Smyd1	1.790000	0.253143
12181	Bop1	56.836571	71.245429
12182	Bst1	0.332000	0.042571
12183	Bpgm	34.508571	62.593714
12189	Brca1	10.337429	6.321143
12190	Brca2	11.532571	3.917429
12192	Zfp36l1	23.345429	87.145714
12193	Zfp36l2	1.823714	15.053429
12209	Brs3	0.108000	0.017714
12211	Birc6	36.591429	24.934286
12212	Chic1	16.256286	21.977714
12215	Bsg	599.595429	914.946571
12217	Bsn	0.068000	0.056286
12223	Btc	0.014000	0.013429
12224	Klf5	47.423714	3.709143
12226	Btg1	0.920000	3.253714
12227	Btg2	33.280286	55.692286
12228	Btg3	12.484857	28.121143
12229	Btk	0.089429	0.052571
12231	Btn1a1	0.083143	0.161429
12234	Btrc	2.039714	3.467143
12235	Bub1	103.817143	174.734286
12236	Bub1b	88.917429	85.343143
12237	Bub3	133.694857	214.133429
12238	Commd3	37.618286	137.142286
